iter	Passed	Remaining
839	2639	9928
840	2642	9926
841	2646	9924
842	2649	9922
843	2652	9919
844	2655	9916
845	2659	9915
846	2662	9912
847	2665	9908
848	2668	9904
849	2671	9901
850	2674	9898
851	2677	9893
852	2680	9889
853	2683	9886
854	2686	9882
855	2689	9878
856	2693	9876
857	2696	9873
858	2699	9869
859	2702	9865
860	2705	9863
861	2708	9861
862	2711	9857
863	2714	9853
864	2717	9849
865	2720	9845
866	2724	9843
867	2726	9839
868	2729	9835
869	2733	9832
870	2736	9828
871	2739	9825
872	2742	9822
873	2745	9819
874	2748	9814
875	2750	9810
876	2753	9805
877	2756	9803
878	2759	9798
879	2762	9794
880	2765	9791
881	2768	9787
882	2771	9785
883	2774	9781
884	2778	9778
885	2781	9775
886	2784	9771
887	2787	9769
888	2790	9766
889	2793	9762
890	2796	9759
891	2799	9755
892	2802	9752
893	2806	9749
894	2809	9745
895	2812	9741
896	2815	9738
897	2817	9731
898	2820	9728
899	2823	9725
900	2826	9722
901	2829	9719
902	2832	9715
903	2836	9714
904	2839	9710
905	2842	9706
906	2845	9702
907	2848	9699
908	2851	9696
909	2854	9692
910	2857	9688
911	2860	9684
912	2863	9680
913	2866	9678
914	2870	9677
915	2873	9673
916	2876	9669
917	2879	9666
918	2882	9662
919	2885	9659
920	2888	9655
921	2891	9651
922	2893	9647
923	2896	9643
924	2899	9640
925	2902	9636
926	2905	9632
927	2908	9627
928	2911	9624
929	2914	9621
930	2917	9618
931	2920	9614
932	2923	9610
933	2926	9607
934	2929	9604
935	2933	9601
936	2936	9598
937	2939	9595
938	2942	9590
939	2944	9586
940	2947	9583
941	2950	9579
942	2953	9575
943	2956	9571
944	2959	9566
945	2962	9563
946	2965	9559
947	2968	9555
948	2971	9552
949	2973	9546
950	2976	9542
951	2979	9539
952	2982	9535
953	2985	9532
954	2988	9528
955	2991	9524
956	2993	9519
957	2997	9516
958	3000	9513
959	3002	9509
960	3005	9504
961	3008	9500
962	3010	9494
963	3013	9491
964	3016	9487
965	3019	9483
966	3022	9479
967	3025	9475
968	3028	9473
969	3031	9470
970	3035	9467
971	3038	9465
972	3041	9462
973	3045	9462
974	3049	9459
975	3052	9458
976	3056	9456
977	3060	9456
978	3063	9454
979	3067	9451
980	3069	9447
981	3073	9446
982	3077	9444
983	3080	9441
984	3083	9437
985	3085	9432
986	3088	9428
987	3092	9427
988	3095	9424
989	3098	9420
990	3101	9416
991	3104	9413
992	3107	9410
993	3110	9405
994	3113	9401
995	3115	9398
996	3118	9394
997	3122	9391
998	3125	9389
999	3128	9386
1000	3131	9383
1001	3135	9380
1002	3138	9377
1003	3141	9374
1004	3144	9370
1005	3147	9366
1006	3150	9363
1007	3153	9359
1008	3156	9356
1009	3159	9354
1010	3162	9350
1011	3165	9346
1012	3168	9343
1013	3171	9340
1014	3174	9336
1015	3177	9333
1016	3180	9329
1017	3183	9326
1018	3187	9324
1019	3190	9320
1020	3193	9316
1021	3196	9312
1022	3198	9308
1023	3201	9305
1024	3205	9302
1025	3208	9299
1026	3211	9296
1027	3214	9293
1028	3217	9289
1029	3221	9288
1030	3224	9285
1031	3227	9281
1032	3230	9278
1033	3233	9275
1034	3236	9272
1035	3239	9269
1036	3242	9265
1037	3245	9261
1038	3248	9257
1039	3251	9254
1040	3254	9250
1041	3257	9246
1042	3260	9242
1043	3262	9238
1044	3265	9235
1045	3269	9232
1046	3271	9228
1047	3274	9224
1048	3277	9220
1049	3280	9216
1050	3283	9213
1051	3286	9209
1052	3288	9202
1053	3291	9199
1054	3294	9196
1055	3297	9192
1056	3300	9190
